id,title,tip_summary,recommended_action,expected_benefit,difficulty_level,audience,content_type
1,Healthy sleep habits for mothers,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,easy,all_women,expert_tip
2,Building healthy daily routines,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,improves maternal health,easy,new_mothers,expert_tip
3,Building healthy daily routines,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,improves recovery after childbirth,easy,new_mothers,expert_tip
4,Healthy sleep habits for mothers,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,improves recovery after childbirth,moderate,pregnant_women,expert_tip
5,Healthy sleep habits for mothers,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,improves recovery after childbirth,moderate,pregnant_women,expert_tip
6,Breastfeeding practices,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,supports infant development,moderate,all_women,expert_tip
7,Managing fatigue in pregnancy,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,improves recovery after childbirth,moderate,pregnant_women,expert_tip
8,Healthy sleep habits for mothers,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,supports infant development,easy,pregnant_women,expert_tip
9,Building healthy daily routines,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,improves recovery after childbirth,moderate,all_women,expert_tip
10,Managing fatigue in pregnancy,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,enhances emotional well-being,easy,new_mothers,expert_tip
11,Healthy sleep habits for mothers,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,enhances emotional well-being,easy,new_mothers,expert_tip
12,Hydration during pregnancy,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,improves recovery after childbirth,moderate,pregnant_women,expert_tip
13,Building healthy daily routines,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,supports infant development,moderate,pregnant_women,expert_tip
14,Breastfeeding practices,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,improves recovery after childbirth,moderate,all_women,expert_tip
15,Building healthy daily routines,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,easy,pregnant_women,expert_tip
16,Nutrition during pregnancy,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,improves maternal health,moderate,new_mothers,expert_tip
17,Managing fatigue in pregnancy,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,improves recovery after childbirth,easy,all_women,expert_tip
18,Exercise for pregnant women,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,enhances emotional well-being,easy,new_mothers,expert_tip
19,Breastfeeding practices,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,reduces stress levels,easy,all_women,expert_tip
20,Postpartum recovery routines,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,enhances emotional well-being,moderate,pregnant_women,expert_tip
21,Emotional wellness during pregnancy,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,supports infant development,moderate,pregnant_women,expert_tip
22,Healthy sleep habits for mothers,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,improves maternal health,moderate,new_mothers,expert_tip
23,Hydration during pregnancy,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,improves recovery after childbirth,moderate,all_women,expert_tip
24,Managing fatigue in pregnancy,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,improves maternal health,easy,new_mothers,expert_tip
25,Hydration during pregnancy,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,reduces stress levels,easy,new_mothers,expert_tip
26,Breastfeeding practices,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,easy,pregnant_women,expert_tip
27,Emotional wellness during pregnancy,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,improves maternal health,easy,all_women,expert_tip
28,Healthy sleep habits for mothers,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,improves recovery after childbirth,moderate,new_mothers,expert_tip
29,Nutrition during pregnancy,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,enhances emotional well-being,moderate,all_women,expert_tip
30,Exercise for pregnant women,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,supports infant development,easy,all_women,expert_tip
31,Hydration during pregnancy,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,supports infant development,moderate,pregnant_women,expert_tip
32,Breastfeeding practices,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,reduces stress levels,easy,new_mothers,expert_tip
33,Building healthy daily routines,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,improves recovery after childbirth,moderate,pregnant_women,expert_tip
34,Managing fatigue in pregnancy,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,moderate,pregnant_women,expert_tip
35,Managing fatigue in pregnancy,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,improves recovery after childbirth,easy,pregnant_women,expert_tip
36,Breastfeeding practices,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,improves maternal health,moderate,all_women,expert_tip
37,Managing fatigue in pregnancy,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,supports infant development,moderate,new_mothers,expert_tip
38,Breastfeeding practices,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,improves recovery after childbirth,moderate,new_mothers,expert_tip
39,Breastfeeding practices,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,reduces stress levels,easy,new_mothers,expert_tip
40,Managing fatigue in pregnancy,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,improves maternal health,easy,pregnant_women,expert_tip
41,Infant bonding techniques,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,supports infant development,moderate,new_mothers,expert_tip
42,Postpartum recovery routines,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,enhances emotional well-being,easy,all_women,expert_tip
43,Healthy sleep habits for mothers,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,improves recovery after childbirth,moderate,all_women,expert_tip
44,Hydration during pregnancy,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,enhances emotional well-being,easy,all_women,expert_tip
45,Postpartum recovery routines,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,improves recovery after childbirth,moderate,new_mothers,expert_tip
46,Postpartum recovery routines,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,supports infant development,easy,all_women,expert_tip
47,Emotional wellness during pregnancy,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,enhances emotional well-being,moderate,pregnant_women,expert_tip
48,Emotional wellness during pregnancy,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,enhances emotional well-being,easy,new_mothers,expert_tip
49,Exercise for pregnant women,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,improves recovery after childbirth,moderate,pregnant_women,expert_tip
50,Hydration during pregnancy,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,reduces stress levels,moderate,all_women,expert_tip
51,Exercise for pregnant women,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,supports infant development,easy,all_women,expert_tip
52,Exercise for pregnant women,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,improves recovery after childbirth,moderate,pregnant_women,expert_tip
53,Hydration during pregnancy,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,supports infant development,moderate,new_mothers,expert_tip
54,Nutrition during pregnancy,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,easy,new_mothers,expert_tip
55,Hydration during pregnancy,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,enhances emotional well-being,easy,pregnant_women,expert_tip
56,Infant bonding techniques,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,improves maternal health,moderate,pregnant_women,expert_tip
57,Managing fatigue in pregnancy,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,improves maternal health,moderate,pregnant_women,expert_tip
58,Managing fatigue in pregnancy,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,enhances emotional well-being,easy,all_women,expert_tip
59,Emotional wellness during pregnancy,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,enhances emotional well-being,easy,pregnant_women,expert_tip
60,Postpartum recovery routines,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,supports infant development,easy,new_mothers,expert_tip
61,Exercise for pregnant women,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,enhances emotional well-being,moderate,new_mothers,expert_tip
62,Emotional wellness during pregnancy,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,enhances emotional well-being,easy,all_women,expert_tip
63,Nutrition during pregnancy,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,enhances emotional well-being,easy,new_mothers,expert_tip
64,Breastfeeding practices,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,enhances emotional well-being,moderate,pregnant_women,expert_tip
65,Breastfeeding practices,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,improves maternal health,moderate,new_mothers,expert_tip
66,Infant bonding techniques,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,improves recovery after childbirth,easy,pregnant_women,expert_tip
67,Infant bonding techniques,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,supports infant development,easy,new_mothers,expert_tip
68,Postpartum recovery routines,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,supports infant development,easy,pregnant_women,expert_tip
69,Emotional wellness during pregnancy,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,enhances emotional well-being,moderate,pregnant_women,expert_tip
70,Infant bonding techniques,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,moderate,all_women,expert_tip
71,Managing fatigue in pregnancy,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,supports infant development,easy,new_mothers,expert_tip
72,Managing fatigue in pregnancy,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,reduces stress levels,easy,pregnant_women,expert_tip
73,Exercise for pregnant women,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,improves maternal health,easy,new_mothers,expert_tip
74,Infant bonding techniques,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,supports infant development,moderate,all_women,expert_tip
75,Breastfeeding practices,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,improves maternal health,moderate,all_women,expert_tip
76,Postpartum recovery routines,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,improves maternal health,easy,pregnant_women,expert_tip
77,Breastfeeding practices,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,improves recovery after childbirth,moderate,new_mothers,expert_tip
78,Exercise for pregnant women,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,easy,pregnant_women,expert_tip
79,Emotional wellness during pregnancy,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,supports infant development,moderate,pregnant_women,expert_tip
80,Emotional wellness during pregnancy,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,reduces stress levels,easy,new_mothers,expert_tip
81,Healthy sleep habits for mothers,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,improves recovery after childbirth,moderate,all_women,expert_tip
82,Exercise for pregnant women,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,supports infant development,easy,new_mothers,expert_tip
83,Emotional wellness during pregnancy,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,improves maternal health,moderate,pregnant_women,expert_tip
84,Exercise for pregnant women,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,reduces stress levels,easy,pregnant_women,expert_tip
85,Postpartum recovery routines,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,moderate,new_mothers,expert_tip
86,Exercise for pregnant women,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,reduces stress levels,moderate,all_women,expert_tip
87,Emotional wellness during pregnancy,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,improves maternal health,easy,new_mothers,expert_tip
88,Breastfeeding practices,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,improves recovery after childbirth,moderate,new_mothers,expert_tip
89,Infant bonding techniques,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,supports infant development,easy,pregnant_women,expert_tip
90,Infant bonding techniques,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,supports infant development,easy,new_mothers,expert_tip
91,Emotional wellness during pregnancy,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,improves recovery after childbirth,moderate,new_mothers,expert_tip
92,Postpartum recovery routines,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,improves recovery after childbirth,moderate,new_mothers,expert_tip
93,Exercise for pregnant women,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,enhances emotional well-being,easy,all_women,expert_tip
94,Emotional wellness during pregnancy,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,enhances emotional well-being,moderate,all_women,expert_tip
95,Infant bonding techniques,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,improves recovery after childbirth,moderate,all_women,expert_tip
96,Managing fatigue in pregnancy,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,reduces stress levels,easy,new_mothers,expert_tip
97,Exercise for pregnant women,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,enhances emotional well-being,easy,pregnant_women,expert_tip
98,Healthy sleep habits for mothers,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,improves recovery after childbirth,easy,pregnant_women,expert_tip
99,Healthy sleep habits for mothers,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,moderate,pregnant_women,expert_tip
100,Nutrition during pregnancy,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,improves maternal health,easy,pregnant_women,expert_tip
101,Breastfeeding practices,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,enhances emotional well-being,moderate,all_women,expert_tip
102,Building healthy daily routines,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,enhances emotional well-being,moderate,pregnant_women,expert_tip
103,Postpartum recovery routines,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,supports infant development,moderate,pregnant_women,expert_tip
104,Healthy sleep habits for mothers,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,supports infant development,easy,new_mothers,expert_tip
105,Building healthy daily routines,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,enhances emotional well-being,easy,all_women,expert_tip
106,Exercise for pregnant women,Experts recommend to get adequate sleep and rest during pregnancy and postpartum stages.,get adequate sleep and rest,enhances emotional well-being,moderate,new_mothers,expert_tip
107,Building healthy daily routines,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,reduces stress levels,moderate,all_women,expert_tip
108,Infant bonding techniques,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,supports infant development,easy,all_women,expert_tip
109,Infant bonding techniques,Experts recommend to maintain balanced nutrition with iron and protein during pregnancy and postpartum stages.,maintain balanced nutrition with iron and protein,enhances emotional well-being,easy,all_women,expert_tip
110,Building healthy daily routines,Experts recommend to seek emotional support from family during pregnancy and postpartum stages.,seek emotional support from family,enhances emotional well-being,easy,pregnant_women,expert_tip
111,Infant bonding techniques,Experts recommend to stay hydrated throughout the day during pregnancy and postpartum stages.,stay hydrated throughout the day,improves maternal health,easy,pregnant_women,expert_tip
112,Managing fatigue in pregnancy,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,supports infant development,moderate,new_mothers,expert_tip
113,Hydration during pregnancy,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,improves recovery after childbirth,moderate,new_mothers,expert_tip
114,Building healthy daily routines,Experts recommend to maintain a consistent daily routine during pregnancy and postpartum stages.,maintain a consistent daily routine,reduces stress levels,moderate,new_mothers,expert_tip
115,Healthy sleep habits for mothers,Experts recommend to practice light physical exercise like walking during pregnancy and postpartum stages.,practice light physical exercise like walking,reduces stress levels,moderate,all_women,expert_tip
