id,guide_title,overview,possible_symptom,recommended_action,risk_category,resource_type,content_format
233,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,sleep disturbances,join maternal support groups,high_risk,mental_health,educational_guide
234,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,extreme fatigue,consult healthcare providers,high_risk,mental_health,educational_guide
235,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,anxiety and panic,join maternal support groups,moderate_risk,postpartum_support,educational_guide
236,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,persistent sadness,talk to family or trusted individuals,low_risk,mental_health,educational_guide
237,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,low_risk,postpartum_support,educational_guide
238,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,sleep disturbances,talk to family or trusted individuals,high_risk,postpartum_support,educational_guide
239,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,anxiety and panic,seek professional counseling,moderate_risk,postpartum_support,educational_guide
240,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,moderate_risk,mental_health,educational_guide
241,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,loss of interest,talk to family or trusted individuals,moderate_risk,mental_health,educational_guide
242,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,moderate_risk,mental_health,educational_guide
243,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,persistent sadness,seek professional counseling,high_risk,mental_health,educational_guide
244,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,sleep disturbances,talk to family or trusted individuals,moderate_risk,postpartum_support,educational_guide
245,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,persistent sadness,join maternal support groups,high_risk,mental_health,educational_guide
246,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,high_risk,postpartum_support,educational_guide
247,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,persistent sadness,talk to family or trusted individuals,low_risk,postpartum_support,educational_guide
248,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,persistent sadness,consult healthcare providers,moderate_risk,postpartum_support,educational_guide
249,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,extreme fatigue,consult healthcare providers,moderate_risk,mental_health,educational_guide
250,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,difficulty bonding with baby,talk to family or trusted individuals,high_risk,mental_health,educational_guide
251,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,anxiety and panic,seek professional counseling,high_risk,pregnancy_guide,educational_guide
252,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,sleep disturbances,join maternal support groups,low_risk,postpartum_support,educational_guide
253,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,sleep disturbances,talk to family or trusted individuals,high_risk,postpartum_support,educational_guide
254,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,high_risk,postpartum_support,educational_guide
255,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,difficulty bonding with baby,talk to family or trusted individuals,moderate_risk,pregnancy_guide,educational_guide
256,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,moderate_risk,postpartum_support,educational_guide
257,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,low_risk,mental_health,educational_guide
258,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,anxiety and panic,seek professional counseling,low_risk,pregnancy_guide,educational_guide
259,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,high_risk,pregnancy_guide,educational_guide
260,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,moderate_risk,mental_health,educational_guide
261,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,difficulty bonding with baby,seek professional counseling,high_risk,pregnancy_guide,educational_guide
262,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,difficulty bonding with baby,join maternal support groups,low_risk,mental_health,educational_guide
263,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,loss of interest,consult healthcare providers,low_risk,pregnancy_guide,educational_guide
264,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,loss of interest,join maternal support groups,low_risk,pregnancy_guide,educational_guide
265,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,persistent sadness,seek professional counseling,low_risk,postpartum_support,educational_guide
266,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,high_risk,pregnancy_guide,educational_guide
267,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,difficulty bonding with baby,practice relaxation techniques,high_risk,pregnancy_guide,educational_guide
268,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,difficulty bonding with baby,join maternal support groups,high_risk,pregnancy_guide,educational_guide
269,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,sleep disturbances,talk to family or trusted individuals,moderate_risk,pregnancy_guide,educational_guide
270,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,sleep disturbances,join maternal support groups,high_risk,mental_health,educational_guide
271,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,low_risk,mental_health,educational_guide
272,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,low_risk,mental_health,educational_guide
273,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,practice relaxation techniques,moderate_risk,mental_health,educational_guide
274,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,loss of interest,seek professional counseling,moderate_risk,pregnancy_guide,educational_guide
275,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,low_risk,pregnancy_guide,educational_guide
276,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,moderate_risk,postpartum_support,educational_guide
277,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,extreme fatigue,join maternal support groups,moderate_risk,mental_health,educational_guide
278,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,extreme fatigue,practice relaxation techniques,low_risk,postpartum_support,educational_guide
279,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,extreme fatigue,join maternal support groups,moderate_risk,pregnancy_guide,educational_guide
280,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,low_risk,pregnancy_guide,educational_guide
281,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,sleep disturbances,join maternal support groups,moderate_risk,mental_health,educational_guide
282,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,difficulty bonding with baby,talk to family or trusted individuals,low_risk,pregnancy_guide,educational_guide
283,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,persistent sadness,consult healthcare providers,moderate_risk,postpartum_support,educational_guide
284,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,difficulty bonding with baby,talk to family or trusted individuals,low_risk,pregnancy_guide,educational_guide
285,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,persistent sadness,practice relaxation techniques,low_risk,mental_health,educational_guide
286,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,anxiety and panic,seek professional counseling,low_risk,mental_health,educational_guide
287,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,extreme fatigue,consult healthcare providers,high_risk,pregnancy_guide,educational_guide
288,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,persistent sadness,join maternal support groups,low_risk,pregnancy_guide,educational_guide
289,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,difficulty bonding with baby,talk to family or trusted individuals,low_risk,mental_health,educational_guide
290,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,extreme fatigue,talk to family or trusted individuals,moderate_risk,mental_health,educational_guide
291,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,anxiety and panic,talk to family or trusted individuals,low_risk,mental_health,educational_guide
292,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,difficulty bonding with baby,practice relaxation techniques,low_risk,pregnancy_guide,educational_guide
293,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,low_risk,mental_health,educational_guide
294,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,difficulty bonding with baby,consult healthcare providers,high_risk,pregnancy_guide,educational_guide
295,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,persistent sadness,join maternal support groups,moderate_risk,pregnancy_guide,educational_guide
296,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,anxiety and panic,talk to family or trusted individuals,high_risk,postpartum_support,educational_guide
297,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,loss of interest,talk to family or trusted individuals,moderate_risk,mental_health,educational_guide
298,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,loss of interest,talk to family or trusted individuals,moderate_risk,pregnancy_guide,educational_guide
299,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,persistent sadness,consult healthcare providers,high_risk,mental_health,educational_guide
300,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,low_risk,mental_health,educational_guide
301,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,persistent sadness,seek professional counseling,low_risk,mental_health,educational_guide
302,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,difficulty bonding with baby,join maternal support groups,low_risk,pregnancy_guide,educational_guide
303,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,extreme fatigue,practice relaxation techniques,high_risk,pregnancy_guide,educational_guide
304,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,moderate_risk,pregnancy_guide,educational_guide
305,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,moderate_risk,pregnancy_guide,educational_guide
306,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,persistent sadness,join maternal support groups,high_risk,mental_health,educational_guide
307,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,extreme fatigue,practice relaxation techniques,high_risk,mental_health,educational_guide
308,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,difficulty bonding with baby,practice relaxation techniques,low_risk,pregnancy_guide,educational_guide
309,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,persistent sadness,practice relaxation techniques,high_risk,pregnancy_guide,educational_guide
310,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,high_risk,postpartum_support,educational_guide
311,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,extreme fatigue,practice relaxation techniques,low_risk,postpartum_support,educational_guide
312,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,persistent sadness,consult healthcare providers,moderate_risk,mental_health,educational_guide
313,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,anxiety and panic,seek professional counseling,low_risk,mental_health,educational_guide
314,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,persistent sadness,practice relaxation techniques,high_risk,mental_health,educational_guide
315,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,moderate_risk,mental_health,educational_guide
316,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,anxiety and panic,join maternal support groups,moderate_risk,pregnancy_guide,educational_guide
317,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,loss of interest,talk to family or trusted individuals,high_risk,postpartum_support,educational_guide
318,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,high_risk,pregnancy_guide,educational_guide
319,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,moderate_risk,mental_health,educational_guide
320,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,sleep disturbances,consult healthcare providers,low_risk,postpartum_support,educational_guide
321,Navigating emotional changes after childbirth,Navigating emotional changes after childbirth helps mothers understand emotional and psychological changes.,persistent sadness,consult healthcare providers,moderate_risk,pregnancy_guide,educational_guide
322,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,high_risk,postpartum_support,educational_guide
323,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,anxiety and panic,talk to family or trusted individuals,low_risk,pregnancy_guide,educational_guide
324,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,anxiety and panic,consult healthcare providers,low_risk,mental_health,educational_guide
325,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,high_risk,postpartum_support,educational_guide
326,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,moderate_risk,postpartum_support,educational_guide
327,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,moderate_risk,postpartum_support,educational_guide
328,Managing anxiety during pregnancy,Managing anxiety during pregnancy helps mothers understand emotional and psychological changes.,difficulty bonding with baby,talk to family or trusted individuals,moderate_risk,postpartum_support,educational_guide
329,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,extreme fatigue,seek professional counseling,high_risk,postpartum_support,educational_guide
330,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,extreme fatigue,join maternal support groups,low_risk,pregnancy_guide,educational_guide
331,First months of motherhood,First months of motherhood helps mothers understand emotional and psychological changes.,difficulty bonding with baby,seek professional counseling,moderate_risk,pregnancy_guide,educational_guide
332,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,extreme fatigue,practice relaxation techniques,moderate_risk,pregnancy_guide,educational_guide
333,Mental health awareness for mothers,Mental health awareness for mothers helps mothers understand emotional and psychological changes.,extreme fatigue,consult healthcare providers,low_risk,pregnancy_guide,educational_guide
334,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,loss of interest,seek professional counseling,low_risk,pregnancy_guide,educational_guide
335,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,loss of interest,talk to family or trusted individuals,low_risk,postpartum_support,educational_guide
336,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,extreme fatigue,consult healthcare providers,high_risk,mental_health,educational_guide
337,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,difficulty bonding with baby,consult healthcare providers,moderate_risk,postpartum_support,educational_guide
338,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,moderate_risk,pregnancy_guide,educational_guide
339,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,sleep disturbances,practice relaxation techniques,moderate_risk,postpartum_support,educational_guide
340,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,loss of interest,consult healthcare providers,moderate_risk,pregnancy_guide,educational_guide
341,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,moderate_risk,pregnancy_guide,educational_guide
342,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,moderate_risk,mental_health,educational_guide
343,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,difficulty bonding with baby,practice relaxation techniques,low_risk,mental_health,educational_guide
344,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,high_risk,postpartum_support,educational_guide
345,Recognizing baby blues,Recognizing baby blues helps mothers understand emotional and psychological changes.,loss of interest,join maternal support groups,low_risk,postpartum_support,educational_guide
346,Building a support system,Building a support system helps mothers understand emotional and psychological changes.,loss of interest,practice relaxation techniques,low_risk,mental_health,educational_guide
347,Postpartum emotional recovery,Postpartum emotional recovery helps mothers understand emotional and psychological changes.,sleep disturbances,seek professional counseling,moderate_risk,pregnancy_guide,educational_guide
348,Seeking professional support,Seeking professional support helps mothers understand emotional and psychological changes.,extreme fatigue,talk to family or trusted individuals,high_risk,mental_health,educational_guide
349,Adapting to motherhood,Adapting to motherhood helps mothers understand emotional and psychological changes.,persistent sadness,join maternal support groups,low_risk,pregnancy_guide,educational_guide
350,Understanding postpartum depression,Understanding postpartum depression helps mothers understand emotional and psychological changes.,extreme fatigue,join maternal support groups,high_risk,mental_health,educational_guide
