id,topic,description,risk_symptom,recommended_precaution,severity_level,tags,reference_type
1,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,heavy bleeding,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
2,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,severe abdominal pain,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
3,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,dizziness,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
4,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,dizziness,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
5,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",educational
6,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
7,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,persistent headaches,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
8,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,heavy bleeding,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
9,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
10,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
11,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fever,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
12,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,heavy bleeding,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
13,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,heavy bleeding,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
14,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,unusual discharge,ensure adequate hydration,high,"menstrual_health, maternal_safety, hygiene",educational
15,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,severe abdominal pain,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
16,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,fever,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",educational
17,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
18,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,dizziness,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
19,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,persistent headaches,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
20,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,fever,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
21,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",educational
22,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fever,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",educational
23,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,dizziness,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
24,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,dizziness,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
25,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,dizziness,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",educational
26,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,fatigue,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
27,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,unusual discharge,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",educational
28,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,ensure adequate hydration,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
29,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,unusual discharge,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",educational
30,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,persistent headaches,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
31,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,dizziness,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
32,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,severe abdominal pain,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
33,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,heavy bleeding,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",educational
34,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,dizziness,ensure adequate hydration,high,"menstrual_health, maternal_safety, hygiene",educational
35,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,fatigue,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
36,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,fatigue,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",educational
37,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,unusual discharge,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",educational
38,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fatigue,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
39,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,dizziness,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
40,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fever,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
41,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",educational
42,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,fever,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
43,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,persistent headaches,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
44,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,unusual discharge,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
45,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,fever,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
46,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,heavy bleeding,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
47,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
48,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,heavy bleeding,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
49,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,unusual discharge,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
50,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,dizziness,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
51,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,fever,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",educational
52,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,fatigue,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
53,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
54,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,heavy bleeding,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
55,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,severe abdominal pain,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
56,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fatigue,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",educational
57,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,fever,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",educational
58,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,unusual discharge,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
59,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,unusual discharge,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",educational
60,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,fatigue,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",educational
61,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
62,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
63,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
64,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,persistent headaches,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",educational
65,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,fever,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",educational
66,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,unusual discharge,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
67,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
68,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,fatigue,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
69,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
70,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,dizziness,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
71,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,unusual discharge,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",educational
72,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,persistent headaches,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
73,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,heavy bleeding,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",educational
74,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,unusual discharge,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
75,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,persistent headaches,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
76,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",educational
77,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,unusual discharge,avoid strenuous activity,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
78,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",educational
79,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,persistent headaches,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
80,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,fatigue,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
81,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fatigue,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
82,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,unusual discharge,monitor symptoms regularly,low,"menstrual_health, maternal_safety, hygiene",educational
83,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,unusual discharge,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
84,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,severe abdominal pain,ensure adequate hydration,high,"menstrual_health, maternal_safety, hygiene",medical_guideline
85,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,fever,maintain proper hygiene,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
86,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,severe abdominal pain,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
87,Preventing anemia in menstruating women,Preventing anemia in menstruating women is essential for maintaining reproductive and maternal health.,unusual discharge,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
88,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,heavy bleeding,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
89,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
90,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fever,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
91,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,severe abdominal pain,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
92,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,dizziness,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",educational
93,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,heavy bleeding,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",educational
94,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
95,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,low,"menstrual_health, maternal_safety, hygiene",healthcare_advice
96,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fatigue,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
97,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,heavy bleeding,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
98,Hydration and nutrition after childbirth,Hydration and nutrition after childbirth is essential for maintaining reproductive and maternal health.,persistent headaches,consult a healthcare professional,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
99,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,unusual discharge,ensure adequate hydration,low,"menstrual_health, maternal_safety, hygiene",educational
100,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,fever,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",educational
101,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,severe abdominal pain,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
102,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,heavy bleeding,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",educational
103,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,dizziness,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",educational
104,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,heavy bleeding,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",educational
105,Safe sanitation practices for women,Safe sanitation practices for women is essential for maintaining reproductive and maternal health.,fatigue,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
106,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,fever,monitor symptoms regularly,high,"menstrual_health, maternal_safety, hygiene",educational
107,Sleep safety for postpartum mothers,Sleep safety for postpartum mothers is essential for maintaining reproductive and maternal health.,severe abdominal pain,monitor symptoms regularly,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
108,Preventing infections during menstruation,Preventing infections during menstruation is essential for maintaining reproductive and maternal health.,heavy bleeding,maintain proper hygiene,low,"menstrual_health, maternal_safety, hygiene",educational
109,Menstrual hygiene safety,Menstrual hygiene safety is essential for maintaining reproductive and maternal health.,heavy bleeding,maintain proper hygiene,high,"menstrual_health, maternal_safety, hygiene",educational
110,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,persistent headaches,ensure adequate hydration,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
111,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",healthcare_advice
112,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,fever,consult a healthcare professional,high,"menstrual_health, maternal_safety, hygiene",educational
113,Recognizing postpartum warning signs,Recognizing postpartum warning signs is essential for maintaining reproductive and maternal health.,severe abdominal pain,take sufficient rest,high,"menstrual_health, maternal_safety, hygiene",healthcare_advice
114,Safe recovery after childbirth,Safe recovery after childbirth is essential for maintaining reproductive and maternal health.,unusual discharge,take sufficient rest,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
115,Managing pain after delivery,Managing pain after delivery is essential for maintaining reproductive and maternal health.,dizziness,consult a healthcare professional,low,"menstrual_health, maternal_safety, hygiene",medical_guideline
116,Postpartum bleeding precautions,Postpartum bleeding precautions is essential for maintaining reproductive and maternal health.,fatigue,avoid strenuous activity,moderate,"menstrual_health, maternal_safety, hygiene",medical_guideline
